ID,Movie,Year,Time,Rating,Metascore,Profit,Description
780,Argo,2012,120,7.7,86,136030000,"Acting under the cover of a Hollywood producer scouting a location for a science fiction film, a CIA agent launches a dangerous operation to rescue six Americans in Tehran during the U.S. hostage crisis in Iran in 1979."
477,Arrival,2016,116,7.9,81,100550000,A linguist works with the military to communicate with alien lifeforms after twelve mysterious spacecraft appear around the world.
585,Arsenic and Old Lace,1943,118,7.9,73,4800000,A Brooklyn writer of books on the futility of marriage risks his reputation when he decides to tie the knot. Things get even more complicated when he learns on his wedding day that his beloved maiden aunts are habitual murderers.
157,Article 15,2019,130,8.2,70,11300000,"In the rural heartlands of India, an upright police officer sets out on a crusade against violent caste-based crimes and discrimination."
835,As Good as It Gets,1997,139,7.7,67,148480000,"A single mother and waitress, a misanthropic author, and a gay artist form an unlikely friendship after the artist is assaulted in a robbery."
37,Asuran,2019,141,8.5,77,8000000,"The teenage son of a farmer from an underprivileged caste kills a rich, upper caste landlord. Will the farmer, a loving father and a pacifist by heart, be able to save his hot-blooded son is the rest of the story."
646,Atonement,2007,123,7.8,85,50930000,Thirteen-year-old fledgling writer Briony Tallis irrevocably changes the course of several lives when she accuses her older sister's lover of a crime he did not commit.
293,Autumn Sonata,1978,99,8.1,79,2000000,"A devoted wife is visited by her mother, a successful concert pianist who had little time for her when she was young."
649,Avatar,2009,162,7.8,83,760510000,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.
66,Avengers: Endgame,2019,181,8.4,78,858370000,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe."
67,Avengers: Infinity War,2018,149,8.4,68,678820000,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.
690,Awakenings,1990,121,7.8,74,52100000,"The victims of an encephalitis epidemic many years ago have been catatonic ever since, but now a new drug offers the prospect of reviving them."
96,Ayla: The Daughter of War,2017,125,8.3,75,16200000,"In 1950, amid-st the ravages of the Korean War, Sergeant S?¬leyman stumbles upon a half-frozen little girl, with no parents and no help in sight. Frantic, scared and on the verge of death, ...                See full summary?ÿ?¯"
146,Baahubali 2: The Conclusion,2017,167,8.2,77,20190000,"When Shiva, the son of Bahubali, learns about his heritage, he begins to look for answers. His story is juxtaposed with past events that unfolded in the Mahishmati Kingdom."
347,Baahubali: The Beginning,2015,159,8,74,6740000,"In ancient India, an adventurous and daring man becomes involved in a decades-old feud between two warring peoples."
472,Baby,2015,159,7.9,76,22000000,"An elite counter-intelligence unit learns of a plot, masterminded by a maniacal madman. With the clock ticking, it's up to them to track the terrorists' international tentacles and prevent them from striking at the heart of India."
52,Back to the Future,1985,116,8.5,87,210610000,"Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown."
695,Back to the Future Part II,1989,108,7.8,57,118500000,"After visiting 2015, Marty McFly must repeat his visit to 1955 to prevent disastrous changes to 1985...without interfering with his first trip."
337,Badhaai Ho,2018,124,8,74,25000000,A man is embarrassed when he finds out his mother is pregnant.
887,Badlands,1973,94,7.7,93,54396,An impressionable teenage girl from a dead-end town and her older greaser boyfriend embark on a killing spree in the South Dakota badlands.
216,Bajrangi Bhaijaan,2015,163,8.1,71,8180000,An Indian man with a magnanimous heart takes a young mute Pakistani girl back to her homeland to reunite her with her family.
229,Barfi!,2012,151,8.1,73,2800000,Three young people learn that love can neither be defined nor contained by society's definition of normal and abnormal.
300,Barry Lyndon,1975,185,8.1,89,31500000,An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.
976,Barton Fink,1991,116,7.6,69,6150000,A renowned New York playwright is enticed to California to write for the movies and discovers the hellish truth of Hollywood.
165,Batman Begins,2005,140,8.2,70,206850000,"After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption."
687,Batman: Mask of the Phantasm,1993,76,7.8,71,5620000,Batman is wrongly implicated in a series of murders of mob bosses actually done by a new vigilante assassin.
462,Battleship Potemkin,1925,66,8,97,50000,"In the midst of the Russian Revolution of 1905, the crew of the battleship Potemkin mutiny against the brutal, tyrannical regime of the vessel's officers. The resulting street demonstration in Odessa brings on a police massacre."
774,Beasts of No Nation,2015,137,7.7,79,80000,"A drama based on the experiences of Agu, a child soldier fighting in the civil war of an unnamed African country."
407,Beauty and the Beast,1991,84,8,95,218970000,A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.
582,Beauty and the Beast,1946,93,7.9,92,300000,"A beautiful young woman takes her father's place as the prisoner of a mysterious beast, who wishes to marry her."
481,Before Midnight,2013,109,7.9,94,8110000,We meet Jesse and Celine nine years on in Greece. Almost two decades have passed since their first meeting on that train bound for Vienna.
275,Before Sunrise,1995,101,8.1,77,5540000,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together."
252,Before Sunset,2004,80,8.1,90,5820000,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour."
676,Being John Malkovich,1999,113,7.8,90,22860000,A puppeteer discovers a portal that leads literally into the head of movie star John Malkovich.
420,Being There,1979,130,8,83,30180000,"After the death of his employer forces him out of the only home he's ever known, a simpleminded, sheltered gardener becomes an unlikely trusted advisor to a powerful tycoon and an insider in Washington politics."
894,Belle de Jour,1967,100,7.7,74,30000,A frigid young housewife decides to spend her midweek afternoons as a prostitute.
312,Ben-Hur,1959,212,8.1,90,74700000,"After a Jewish prince is betrayed and sent into slavery by a Roman friend in 1st-century Jerusalem, he regains his freedom and comes back for revenge."
148,Bhaag Milkha Bhaag,2013,186,8.2,79,1630000,"The truth behind the ascension of Milkha Singh, who was scarred by of the India-Pakistan partition."
131,Bicycle Thieves,1948,89,8.3,72,330000,"In post-war Italy, a working-class man's bicycle is stolen, endangering his efforts to find work. He and his son set out to find it."
385,Big Fish,2003,125,8,58,66260000,A frustrated son tries to determine the fact from fiction in his dying father's life.
618,Big Hero 6,2014,102,7.8,74,222530000,"A special bond develops between plus-sized inflatable robot Baymax and prodigy Hiro Hamada, who together team up with a group of friends to form a band of high-tech heroes."
819,Billy Elliot,2000,110,7.7,74,22000000,A talented young boy becomes torn between his unexpected love of dance and the disintegration of his family.
757,Birdman or (The Unexpected Virtue of Ignorance),2014,119,7.7,87,42340000,"A washed-up superhero actor attempts to revive his fading career by writing, directing, and starring in a Broadway production."
253,Black,2005,122,8.1,73,730000,"The cathartic tale of a young woman who can't see, hear, or speak, and the teacher who brings a ray of light into her dark world."
797,Black Book,2006,145,7.7,71,4400000,"In the Nazi-occupied Netherlands during World War II, a Jewish singer infiltrates the regional Gestapo headquarters for the Dutch resistance."
397,"Black Cat, White Cat",1998,127,8,73,350000,Matko and his son Zare live on the banks of the Danube river and get by through hustling and basically doing anything to make a living. In order to pay off a business debt Matko agrees to marry off Zare to the sister of a local gangster.
816,Black Hawk Down,2001,144,7.7,74,108640000,"The story of 160 elite U.S. soldiers who dropped into Mogadishu in October 1993 to capture two top lieutenants of a renegade warlord, but found themselves in a desperate battle with a large force of heavily-armed Somalis."
366,Black Swan,2010,108,8,79,106950000,"A committed dancer struggles to maintain her sanity after winning the lead role in a production of Tchaikovsky's ""Swan Lake""."
291,Blade Runner,1982,117,8.1,84,32870000,"A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator."
353,Blade Runner 2049,2017,164,8,81,92050000,"Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years."
884,Blazing Saddles,1974,93,7.7,73,119500000,"In order to ruin a western town, a corrupt politician appoints a black Sheriff, who promptly becomes his most formidable adversary."
372,Blood Diamond,2006,143,8,64,57370000,"A fisherman, a smuggler, and a syndicate of businessmen match wits over the possession of a priceless diamond."
538,"Blood In, Blood Out",1993,180,7.9,47,4500000,"Based on the true life experiences of poet Jimmy Santiago Baca, the film focuses on step-brothers Paco and Cruz, and their bi-racial cousin Miklo."
760,Blue Is the Warmest Colour,2013,180,7.7,89,2200000,"Ad??le's life is changed when she meets Emma, a young woman with blue hair, who will allow her to discover desire and to assert herself as a woman and as an adult. In front of others, Ad??le grows, seeks herself, loses herself, and ultimately finds herself through love and loss."
871,Blue Velvet,1986,120,7.7,76,8550000,"The discovery of a severed human ear found in a field leads a young man on an investigation related to a beautiful, mysterious nightclub singer and a group of psychopathic criminals who have kidnapped her child."
484,Bohemian Rhapsody,2018,134,7.9,49,216430000,"The story of the legendary British rock band Queen and lead singer Freddie Mercury, leading up to their famous performance at Live Aid (1985)."
893,Bonnie and Clyde,1967,111,7.7,86,70000000,"Bored waitress Bonnie Parker falls in love with an ex-con named Clyde Barrow and together they start a violent crime spree through the country, stealing cars and robbing banks."
530,Boogie Nights,1997,155,7.9,85,26400000,"Back when sex was safe, pleasure was a business and business was booming, an idealistic porn producer aspires to elevate his craft to an art when he discovers a hot young talent."
497,Boyhood,2014,165,7.9,100,25380000,"The life of Mason, from early childhood to his arrival at college."
688,Boyz n the Hood,1991,112,7.8,76,57500000,"Follows the lives of three young males living in the Crenshaw ghetto of Los Angeles, dissecting questions of race, relationships, violence, and future prospects."
81,Braveheart,1995,178,8.4,68,75600000,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.
545,Brazil,1985,132,7.9,84,9930000,A bureaucrat in a dystopic society becomes an enemy of the state as he pursues the woman of his dreams.
993,Breakfast at Tiffanys,1961,115,7.6,76,14000000,"A young New York socialite becomes interested in a young man who has moved into her apartment building, but her past threatens to get in the way."
679,Breaking the Waves,1996,159,7.8,76,4040000,"Oilman Jan is paralyzed in an accident. His wife, who prayed for his return, feels guilty; even more, when Jan urges her to have sex with another."
902,Breathless,1960,90,7.7,75,340000,"A small-time thief steals a car and impulsively murders a motorcycle policeman. Wanted by the authorities, he reunites with a hip American journalism student and attempts to persuade her to run away with him to Italy."
915,Bridge of Spies,2015,142,7.6,81,72310000,"During the Cold War, an American lawyer is recruited to defend an arrested Soviet spy in court, and then help the CIA facilitate an exchange of the spy for the Soviet captured American U2 spy plane pilot, Francis Gary Powers."
460,Brief Encounter,1945,86,8,92,119400,"Meeting a stranger in a railway station, a woman is tempted to cheat on her husband."
736,Bringing Up Baby,1938,102,7.8,91,485,"While trying to secure a $1 million donation for his museum, a befuddled paleontologist is pursued by a flighty and often irritating heiress and her pet leopard, Baby."
798,Brokeback Mountain,2005,134,7.7,87,83040000,Ennis and Jack are two shepherds who develop a sexual and emotional relationship. Their relationship becomes complicated when both of them get married to their respective girlfriends.
431,Butch Cassidy and the Sundance Kid,1969,110,8,66,102310000,"Wyoming, early 1900s. Butch Cassidy and The Sundance Kid are the leaders of a band of outlaws. After a train robbery goes wrong they find themselves on the run with a posse hard on their heels. Their solution - escape to Bolivia."
508,C.R.A.Z.Y.,2005,129,7.9,81,9900000,"A young French Canadian, one of five boys in a conservative family in the 1960s and 1970s, struggles to reconcile his emerging identity with his father's values."
714,Cabaret,1972,124,7.8,80,42770000,A female girlie club entertainer in Weimar Republic era Berlin romances two men while the Nazi Party rises to power around them.
597,Call Me by Your Name,2017,132,7.8,93,18100000,"In 1980s Italy, romance blossoms between a seventeen-year-old student and the older man hired as his father's research assistant."
899,Cape Fear,1962,106,7.7,76,182300000,A lawyer's family is stalked by a man he once helped put in jail.
61,Capernaum,2018,126,8.4,75,1660000,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect."
